"Use 1-3, Do not use 0. Higher number gets priority in any area.",,,,,,,,,,,
"Preference","key","value","link","help",,,,,,,
1,"aerialway","cable_car","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dcable_car","  Cablecar or Tramway. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended.
",,,,,,,
0,"aerialway","gondola","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dgondola"," 
",,,,,,,
0,"aerialway","chair_lift","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dchair_lift"," 
",,,,,,,
1,"aerialway","mixed_lift","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dmixed_lift"," 
",,,,,,,
0,"aerialway","drag_lift","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Ddrag_lift"," 
",,,,,,,
0,"aerialway","t-bar","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dt-bar","
",,,,,,,
0,"aerialway","j-bar","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dj-bar","
",,,,,,,
0,"aerialway","platter","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dplatter","
",,,,,,,
0,"aerialway","rope_tow","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Drope_tow","
",,,,,,,
0,"aerialway","magic_carpet","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dmagic_carpet","
",,,,,,,
1,"aerialway","zip_line","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dzip_line","
",,,,,,,
0,"aerialway","pylon","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dpylon","  Aerial lift pylon is a pylon supporting the aerialway cable.
",,,,,,,
2,"aerialway","station","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dstation","
",,,,,,,
0,"aerialway","canopy","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dcanopy"," Obsolete, please use aerialway=zip_line instead. This automatically implies oneway=yes (drawn downward).
",,,,,,,
0,"aerialway","goods","http://wiki.openstreetmap.org/wiki/Tag:aerialway%3Dgoods"," 
",,,,,,,
0,"aeroway","aerodrome","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome","  Aerodrome in the United Kingdom or Airport in North America is used to map the main area details (other than  helicopters only).
",,,,,,,
0,"aeroway","apron","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Dapron","  Airport apron is an area where planes are parked, unloaded or loaded, refueled, or boarded.
",,,,,,,
2,"aeroway","gate","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Dgate","  Airport gate is used to mark the gate numbers at the airports where passengers wait before boarding their flight.
",,,,,,,
0,"aeroway","hangar","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Dhangar","  Hangar is a structure to hold aircraft or spacecraft.
",,,,,,,
0,"aeroway","helipad","http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Dhelipad","  Helipad is used to mark the landing area or platform for Helicopters
",,,,,,,
